Protocol,Filler,Type,Evaluation
1,1,true,0
1,1,true,3
1,1,true,3
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,1,true,6
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,0
1,2,false,1
1,2,false,1
1,2,false,2
1,2,false,3
1,2,false,6
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,0
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,1
1,3,violating_presupposition,2
1,3,violating_presupposition,2
1,3,violating_presupposition,2
1,3,violating_presupposition,2
1,3,violating_presupposition,3
1,3,violating_presupposition,3
1,3,violating_presupposition,4
1,3,violating_presupposition,6
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,0
1,4,false,6
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,0
1,5,violating_implicature,1
1,5,violating_implicature,1
1,5,violating_implicature,1
1,5,violating_implicature,1
1,5,violating_implicature,2
1,5,violating_implicature,2
1,5,violating_implicature,3
1,5,violating_implicature,3
1,5,violating_implicature,3
1,5,violating_implicature,4
1,5,violating_implicature,4
1,5,violating_implicature,5
1,5,violating_implicature,6
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,0
1,6,false,1
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,0
1,7,violating_implicature,1
1,7,violating_implicature,1
1,7,violating_implicature,1
1,7,violating_implicature,1
1,7,violating_implicature,1
1,7,violating_implicature,2
1,7,violating_implicature,2
1,7,violating_implicature,2
1,7,violating_implicature,3
1,7,violating_implicature,4
1,7,violating_implicature,4
1,7,violating_implicature,4
1,7,violating_implicature,4
1,7,violating_implicature,6
1,8,true,2
1,8,true,2
1,8,true,3
1,8,true,4
1,8,true,5
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
1,8,true,6
2,1,true,5
2,1,true,5
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,1,true,6
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,0
2,2,false,2
2,2,false,3
2,2,false,4
2,3,violating_presupposition,0
2,3,violating_presupposition,0
2,3,violating_presupposition,1
2,3,violating_presupposition,2
2,3,violating_presupposition,3
2,3,violating_presupposition,3
2,3,violating_presupposition,3
2,3,violating_presupposition,3
2,3,violating_presupposition,4
2,3,violating_presupposition,4
2,3,violating_presupposition,4
2,3,violating_presupposition,4
2,3,violating_presupposition,5
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,3,violating_presupposition,6
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,0
2,4,false,1
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,0
2,5,violating_implicature,2
2,5,violating_implicature,3
2,5,violating_implicature,3
2,5,violating_implicature,3
2,5,violating_implicature,3
2,5,violating_implicature,4
2,5,violating_implicature,5
2,5,violating_implicature,5
2,5,violating_implicature,6
2,5,violating_implicature,6
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,0
2,6,false,1
2,6,false,1
2,6,false,2
2,6,false,3
2,6,false,5
2,6,false,6
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,0
2,7,violating_implicature,1
2,7,violating_implicature,1
2,7,violating_implicature,1
2,7,violating_implicature,2
2,7,violating_implicature,2
2,7,violating_implicature,2
2,7,violating_implicature,2
2,7,violating_implicature,2
2,7,violating_implicature,3
2,7,violating_implicature,3
2,7,violating_implicature,3
2,7,violating_implicature,4
2,7,violating_implicature,4
2,7,violating_implicature,4
2,7,violating_implicature,6
2,8,true,1
2,8,true,2
2,8,true,4
2,8,true,4
2,8,true,5
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6
2,8,true,6